Original gene set ID	Original gene set description
GO:0010830	regulation of myotube differentiation
GO:0010833	telomere maintenance via telomere lengthening
GO:0010862	positive regulation of pathway-restricted SMAD protein phosphorylation
GO:0010863	positive regulation of phospholipase C activity
GO:0010869	regulation of receptor biosynthetic process
GO:0010874	regulation of cholesterol efflux
GO:0010876	lipid localization
GO:0010878	cholesterol storage
GO:0010883	regulation of lipid storage
GO:0010884	positive regulation of lipid storage
GO:0010885	regulation of cholesterol storage
GO:0010888	negative regulation of lipid storage
GO:0010893	positive regulation of steroid biosynthetic process
GO:0010894	negative regulation of steroid biosynthetic process
GO:0010906	regulation of glucose metabolic process
GO:0010907	positive regulation of glucose metabolic process
GO:0010921	regulation of phosphatase activity
GO:0010922	positive regulation of phosphatase activity
GO:0010927	cellular component assembly involved in morphogenesis
GO:0010948	negative regulation of cell cycle process
GO:0010950	positive regulation of endopeptidase activity
GO:0010951	negative regulation of endopeptidase activity
GO:0010952	positive regulation of peptidase activity
GO:0010959	regulation of metal ion transport
GO:0010962	regulation of glucan biosynthetic process
GO:0010970	microtubule-based transport
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle
GO:0010975	regulation of neuron projection development
GO:0010976	positive regulation of neuron projection development
GO:0010977	negative regulation of neuron projection development
GO:0012502	induction of programmed cell death
GO:0012506	vesicle membrane
GO:0012507	ER to Golgi transport vesicle membrane
GO:0012510	trans-Golgi network transport vesicle membrane
GO:0014002	astrocyte development
GO:0014003	oligodendrocyte development
GO:0014009	glial cell proliferation
GO:0014013	regulation of gliogenesis
GO:0014014	negative regulation of gliogenesis
GO:0014015	positive regulation of gliogenesis
GO:0014020	primary neural tube formation
GO:0014031	mesenchymal cell development
GO:0014032	neural crest cell development
GO:0014033	neural crest cell differentiation
GO:0014037	Schwann cell differentiation
GO:0014044	Schwann cell development
GO:0014046	dopamine secretion
GO:0014047	glutamate secretion
GO:0014048	regulation of glutamate secretion
GO:0014059	regulation of dopamine secretion
GO:0014061	regulation of norepinephrine secretion
GO:0014065	phosphatidylinositol 3-kinase cascade
GO:0014066	regulation of phosphatidylinositol 3-kinase cascade
GO:0014068	positive regulation of phosphatidylinositol 3-kinase cascade
GO:0014069	postsynaptic density
GO:0014070	response to organic cyclic compound
GO:0014072	response to isoquinoline alkaloid
GO:0014073	response to tropane
GO:0014074	response to purine-containing compound
GO:0014075	response to amine stimulus
GO:0014704	intercalated disc
GO:0014706	striated muscle tissue development
GO:0014743	regulation of muscle hypertrophy
GO:0014812	muscle cell migration
GO:0014821	phasic smooth muscle contraction
GO:0014823	response to activity
GO:0014829	vascular smooth muscle contraction
GO:0014855	striated muscle cell proliferation
GO:0014888	striated muscle adaptation
GO:0014896	muscle hypertrophy
GO:0014897	striated muscle hypertrophy
GO:0014902	myotube differentiation
GO:0014909	smooth muscle cell migration
GO:0014910	regulation of smooth muscle cell migration
GO:0014911	positive regulation of smooth muscle cell migration
GO:0015002	heme-copper terminal oxidase activity
GO:0015012	heparan sulfate proteoglycan biosynthetic process
GO:0015020	glucuronosyltransferase activity
GO:0015026	coreceptor activity
GO:0015030	Cajal body
GO:0015035	protein disulfide oxidoreductase activity
GO:0015036	disulfide oxidoreductase activity
GO:0015074	DNA integration
GO:0015077	monovalent inorganic cation transmembrane transporter activity
GO:0015078	hydrogen ion transmembrane transporter activity
GO:0015079	potassium ion transmembrane transporter activity
GO:0015081	sodium ion transmembrane transporter activity
GO:0015085	calcium ion transmembrane transporter activity
GO:0015093	ferrous iron transmembrane transporter activity
GO:0015101	organic cation transmembrane transporter activity
GO:0015103	inorganic anion transmembrane transporter activity
GO:0015108	chloride transmembrane transporter activity
GO:0015114	phosphate ion transmembrane transporter activity
GO:0015116	sulfate transmembrane transporter activity
GO:0015144	carbohydrate transmembrane transporter activity
GO:0015145	monosaccharide transmembrane transporter activity
GO:0015149	hexose transmembrane transporter activity
GO:0015171	amino acid transmembrane transporter activity
GO:0015172	acidic amino acid transmembrane transporter activity
GO:0015175	neutral amino acid transmembrane transporter activity
GO:0015179	L-amino acid transmembrane transporter activity
GO:0015238	drug transmembrane transporter activity
GO:0015248	sterol transporter activity
GO:0015267	channel activity
GO:0015269	calcium-activated potassium channel activity
GO:0015276	ligand-gated ion channel activity
GO:0015278	calcium-release channel activity
GO:0015291	secondary active transmembrane transporter activity
GO:0015293	symporter activity
GO:0015294	solute:cation symporter activity
GO:0015295	solute:hydrogen symporter activity
GO:0015296	anion:cation symporter activity
GO:0015297	antiporter activity
GO:0015298	solute:cation antiporter activity
GO:0015299	solute:hydrogen antiporter activity
GO:0015300	solute:solute antiporter activity
GO:0015301	anion:anion antiporter activity
GO:0015370	solute:sodium symporter activity
GO:0015399	primary active transmembrane transporter activity
GO:0015405	P-P-bond-hydrolysis-driven transmembrane transporter activity
GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
GO:0015459	potassium channel regulator activity
GO:0015464	acetylcholine receptor activity
GO:0015485	cholesterol binding
GO:0015491	cation:cation antiporter activity
GO:0015629	actin cytoskeleton
GO:0015631	tubulin binding
GO:0015643	toxin binding
GO:0015645	fatty acid ligase activity
GO:0015662	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
GO:0015669	gas transport
GO:0015672	monovalent inorganic cation transport
GO:0015682	ferric iron transport
GO:0015684	ferrous iron transport
GO:0015695	organic cation transport
GO:0015697	quaternary ammonium group transport
GO:0015698	inorganic anion transport
GO:0015701	bicarbonate transport
GO:0015711	organic anion transport
GO:0015718	monocarboxylic acid transport
GO:0015721	bile acid and bile salt transport
GO:0015749	monosaccharide transport
GO:0015758	glucose transport
GO:0015800	acidic amino acid transport
GO:0015802	basic amino acid transport
GO:0015804	neutral amino acid transport
GO:0015807	L-amino acid transport
GO:0015812	gamma-aminobutyric acid transport
GO:0015813	L-glutamate transport
GO:0015833	peptide transport
GO:0015837	amine transport
GO:0015838	betaine transport
GO:0015844	monoamine transport
GO:0015849	organic acid transport
GO:0015850	organic alcohol transport
GO:0015851	nucleobase transport
GO:0015872	dopamine transport
GO:0015874	norepinephrine transport
GO:0015879	carnitine transport
GO:0015893	drug transport
GO:0015908	fatty acid transport
GO:0015909	long-chain fatty acid transport
GO:0015914	phospholipid transport
GO:0015918	sterol transport
GO:0015923	mannosidase activity
GO:0015924	mannosyl-oligosaccharide mannosidase activity
GO:0015926	glucosidase activity
GO:0015929	hexosaminidase activity
GO:0015931	nucleobase-containing compound transport
GO:0015932	nucleobase-containing compound transmembrane transporter activity
GO:0015934	large ribosomal subunit
GO:0015935	small ribosomal subunit
GO:0015936	coenzyme A metabolic process
GO:0015939	pantothenate metabolic process
GO:0015949	nucleobase-containing small molecule interconversion
GO:0015980	energy derivation by oxidation of organic compounds
GO:0015985	energy coupled proton transport, down electrochemical gradient
GO:0015986	ATP synthesis coupled proton transport
GO:0015988	energy coupled proton transport, against electrochemical gradient
GO:0015991	ATP hydrolysis coupled proton transport
GO:0015992	proton transport
GO:0016010	dystrophin-associated glycoprotein complex
GO:0016032	viral reproduction
GO:0016042	lipid catabolic process
GO:0016045	detection of bacterium
GO:0016049	cell growth
GO:0016050	vesicle organization
GO:0016051	carbohydrate biosynthetic process
GO:0016052	carbohydrate catabolic process
GO:0016053	organic acid biosynthetic process
GO:0016054	organic acid catabolic process
GO:0016055	Wnt receptor signaling pathway
GO:0016064	immunoglobulin mediated immune response
GO:0016072	rRNA metabolic process
GO:0016073	snRNA metabolic process
GO:0016079	synaptic vesicle exocytosis
GO:0016101	diterpenoid metabolic process
GO:0016125	sterol metabolic process
GO:0016126	sterol biosynthetic process
GO:0016127	sterol catabolic process
GO:0016180	snRNA processing
GO:0016197	endosomal transport
GO:0016202	regulation of striated muscle tissue development
GO:0016208	AMP binding
GO:0016209	antioxidant activity
GO:0016226	iron-sulfur cluster assembly
GO:0016229	steroid dehydrogenase activity
GO:0016234	inclusion body
GO:0016235	aggresome
GO:0016236	macroautophagy
GO:0016247	channel regulator activity
GO:0016248	channel inhibitor activity
GO:0016254	preassembly of GPI anchor in ER membrane
GO:0016272	prefoldin complex
GO:0016278	lysine N-methyltransferase activity
GO:0016279	protein-lysine N-methyltransferase activity
GO:0016289	CoA hydrolase activity
GO:0016298	lipase activity
GO:0016303	1-phosphatidylinositol-3-kinase activity
GO:0016307	phosphatidylinositol phosphate kinase activity
GO:0016311	dephosphorylation
GO:0016323	basolateral plasma membrane
GO:0016324	apical plasma membrane
GO:0016327	apicolateral plasma membrane
GO:0016328	lateral plasma membrane
GO:0016331	morphogenesis of embryonic epithelium
GO:0016337	cell-cell adhesion
GO:0016338	calcium-independent cell-cell adhesion
GO:0016339	calcium-dependent cell-cell adhesion
GO:0016358	dendrite development
GO:0016363	nuclear matrix
GO:0016407	acetyltransferase activity
GO:0016408	C-acyltransferase activity
GO:0016409	palmitoyltransferase activity
GO:0016410	N-acyltransferase activity
GO:0016411	acylglycerol O-acyltransferase activity
GO:0016441	posttranscriptional gene silencing
GO:0016444	somatic cell DNA recombination
GO:0016445	somatic diversification of immunoglobulins
GO:0016447	somatic recombination of immunoglobulin gene segments
GO:0016458	gene silencing
GO:0016459	myosin complex
GO:0016460	myosin II complex
GO:0016469	proton-transporting two-sector ATPase complex
GO:0016471	vacuolar proton-transporting V-type ATPase complex
GO:0016485	protein processing
GO:0016486	peptide hormone processing
GO:0016493	C-C chemokine receptor activity
GO:0016500	protein-hormone receptor activity
GO:0016502	nucleotide receptor activity
GO:0016504	peptidase activator activity
GO:0016505	apoptotic protease activator activity
GO:0016514	SWI/SNF complex
GO:0016525	negative regulation of angiogenesis
GO:0016528	sarcoplasm
GO:0016529	sarcoplasmic reticulum
GO:0016538	cyclin-dependent protein kinase regulator activity
GO:0016540	protein autoprocessing
GO:0016558	protein import into peroxisome matrix
GO:0016567	protein ubiquitination
GO:0016568	chromatin modification
GO:0016569	covalent chromatin modification
GO:0016570	histone modification
GO:0016571	histone methylation
GO:0016572	histone phosphorylation
GO:0016573	histone acetylation
GO:0016574	histone ubiquitination
GO:0016575	histone deacetylation
GO:0016577	histone demethylation
GO:0016578	histone deubiquitination
GO:0016579	protein deubiquitination
GO:0016581	NuRD complex
GO:0016585	chromatin remodeling complex
GO:0016591	DNA-directed RNA polymerase II, holoenzyme
GO:0016592	mediator complex
GO:0016594	glycine binding
GO:0016597	amino acid binding
GO:0016601	Rac protein signal transduction
GO:0016604	nuclear body
GO:0016605	PML body
GO:0016607	nuclear speck
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
GO:0016634	oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0016641	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors
GO:0016646	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0016651	oxidoreductase activity, acting on NADH or NADPH
GO:0016655	oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors
GO:0016675	oxidoreductase activity, acting on a heme group of donors
GO:0016676	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0016706	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen
GO:0016725	oxidoreductase activity, acting on CH or CH2 groups
GO:0016741	transferase activity, transferring one-carbon groups
GO:0016746	transferase activity, transferring acyl groups
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
GO:0016755	transferase activity, transferring amino-acyl groups
GO:0016757	transferase activity, transferring glycosyl groups
GO:0016758	transferase activity, transferring hexosyl groups
GO:0016763	transferase activity, transferring pentosyl groups
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0016769	transferase activity, transferring nitrogenous groups
GO:0016775	phosphotransferase activity, nitrogenous group as acceptor
GO:0016776	phosphotransferase activity, phosphate group as acceptor
GO:0016779	nucleotidyltransferase activity
GO:0016780	phosphotransferase activity, for other substituted phosphate groups
GO:0016782	transferase activity, transferring sulfur-containing groups
GO:0016790	thiolester hydrolase activity
GO:0016791	phosphatase activity
GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016798	hydrolase activity, acting on glycosyl bonds
GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0016805	dipeptidase activity
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0016813	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO:0016820	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances
GO:0016829	lyase activity
GO:0016830	carbon-carbon lyase activity
GO:0016831	carboxy-lyase activity
GO:0016835	carbon-oxygen lyase activity
GO:0016836	hydro-lyase activity
GO:0016840	carbon-nitrogen lyase activity
GO:0016846	carbon-sulfur lyase activity
GO:0016849	phosphorus-oxygen lyase activity
GO:0016853	isomerase activity
GO:0016854	racemase and epimerase activity
GO:0016859	cis-trans isomerase activity
GO:0016860	intramolecular oxidoreductase activity
GO:0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses
GO:0016862	intramolecular oxidoreductase activity, interconverting keto- and enol-groups
GO:0016863	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0016866	intramolecular transferase activity
GO:0016874	ligase activity
GO:0016875	ligase activity, forming carbon-oxygen bonds
GO:0016876	ligase activity, forming aminoacyl-tRNA and related compounds
GO:0016877	ligase activity, forming carbon-sulfur bonds
GO:0016878	acid-thiol ligase activity
GO:0016879	ligase activity, forming carbon-nitrogen bonds
GO:0016881	acid-amino acid ligase activity
GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0016887	ATPase activity
GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters
GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016894	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters
GO:0016896	exoribonuclease activity, producing 5'-phosphomonoesters
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0016917	GABA receptor activity
GO:0016918	retinal binding
GO:0016922	ligand-dependent nuclear receptor binding
GO:0016925	protein sumoylation
GO:0016998	cell wall macromolecule catabolic process
GO:0017002	activin-activated receptor activity
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway
GO:0017016	Ras GTPase binding
GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0017022	myosin binding
GO:0017025	TBP-class protein binding
GO:0017038	protein import
GO:0017046	peptide hormone binding
GO:0017048	Rho GTPase binding
GO:0017053	transcriptional repressor complex
GO:0017069	snRNA binding
GO:0017075	syntaxin-1 binding
GO:0017085	response to insecticide
GO:0017091	AU-rich element binding
GO:0017119	Golgi transport complex
GO:0017124	SH3 domain binding
GO:0017127	cholesterol transporter activity
GO:0017134	fibroblast growth factor binding
GO:0017136	NAD-dependent histone deacetylase activity
GO:0017137	Rab GTPase binding
GO:0017144	drug metabolic process
GO:0017145	stem cell division
GO:0017147	Wnt-protein binding
GO:0017148	negative regulation of translation
GO:0017153	sodium:dicarboxylate symporter activity
GO:0017156	calcium ion-dependent exocytosis
GO:0017157	regulation of exocytosis
GO:0017158	regulation of calcium ion-dependent exocytosis
GO:0017171	serine hydrolase activity
GO:0017187	peptidyl-glutamic acid carboxylation
GO:0018022	peptidyl-lysine methylation
GO:0018024	histone-lysine N-methyltransferase activity
GO:0018105	peptidyl-serine phosphorylation
GO:0018107	peptidyl-threonine phosphorylation
GO:0018108	peptidyl-tyrosine phosphorylation
GO:0018130	heterocycle biosynthetic process
GO:0018149	peptide cross-linking
GO:0018195	peptidyl-arginine modification
GO:0018196	peptidyl-asparagine modification
GO:0018198	peptidyl-cysteine modification
GO:0018200	peptidyl-glutamic acid modification
GO:0018202	peptidyl-histidine modification
GO:0018205	peptidyl-lysine modification
GO:0018208	peptidyl-proline modification
GO:0018209	peptidyl-serine modification
GO:0018210	peptidyl-threonine modification
GO:0018212	peptidyl-tyrosine modification
GO:0018214	protein carboxylation
GO:0018279	protein N-linked glycosylation via asparagine
GO:0018298	protein-chromophore linkage
GO:0018345	protein palmitoylation
GO:0018393	internal peptidyl-lysine acetylation
GO:0018394	peptidyl-lysine acetylation
GO:0018410	C-terminal protein amino acid modification
GO:0018904	organic ether metabolic process
GO:0018958	phenol-containing compound metabolic process
GO:0019001	guanyl nucleotide binding
GO:0019002	GMP binding
GO:0019003	GDP binding
GO:0019005	SCF ubiquitin ligase complex
GO:0019048	virus-host interaction
GO:0019058	viral infectious cycle
GO:0019059	initiation of viral infection
GO:0019079	viral genome replication
GO:0019080	viral genome expression
GO:0019083	viral transcription
GO:0019098	reproductive behavior
GO:0019104	DNA N-glycosylase activity
GO:0019198	transmembrane receptor protein phosphatase activity
GO:0019199	transmembrane receptor protein kinase activity
GO:0019200	carbohydrate kinase activity
GO:0019201	nucleotide kinase activity
GO:0019203	carbohydrate phosphatase activity
GO:0019205	nucleobase-containing compound kinase activity
GO:0019206	nucleoside kinase activity
GO:0019207	kinase regulator activity
GO:0019208	phosphatase regulator activity
GO:0019209	kinase activator activity
GO:0019210	kinase inhibitor activity
GO:0019212	phosphatase inhibitor activity
GO:0019213	deacetylase activity
GO:0019216	regulation of lipid metabolic process
GO:0019217	regulation of fatty acid metabolic process
GO:0019218	regulation of steroid metabolic process
GO:0019221	cytokine-mediated signaling pathway
GO:0019228	regulation of action potential in neuron
GO:0019229	regulation of vasoconstriction
GO:0019233	sensory perception of pain
GO:0019239	deaminase activity
GO:0019318	hexose metabolic process
GO:0019319	hexose biosynthetic process
GO:0019320	hexose catabolic process
GO:0019321	pentose metabolic process
GO:0019359	nicotinamide nucleotide biosynthetic process
GO:0019362	pyridine nucleotide metabolic process
GO:0019363	pyridine nucleotide biosynthetic process
GO:0019370	leukotriene biosynthetic process
GO:0019395	fatty acid oxidation
GO:0019400	alditol metabolic process
GO:0019430	removal of superoxide radicals
GO:0019432	triglyceride biosynthetic process
GO:0019433	triglyceride catabolic process
GO:0019438	aromatic compound biosynthetic process
GO:0019439	aromatic compound catabolic process
GO:0019637	organophosphate metabolic process
GO:0019674	NAD metabolic process
GO:0019717	synaptosome
GO:0019722	calcium-mediated signaling
GO:0019724	B cell mediated immunity
GO:0019748	secondary metabolic process
GO:0019751	polyol metabolic process
GO:0019783	small conjugating protein-specific protease activity
GO:0019787	small conjugating protein ligase activity
GO:0019825	oxygen binding
GO:0019827	stem cell maintenance
GO:0019829	cation-transporting ATPase activity
GO:0019835	cytolysis
GO:0019838	growth factor binding
GO:0019840	isoprenoid binding
GO:0019841	retinol binding
GO:0019842	vitamin binding
GO:0019843	rRNA binding
GO:0019861	flagellum
GO:0019865	immunoglobulin binding
GO:0019866	organelle inner membrane
GO:0019867	outer membrane
GO:0019882	antigen processing and presentation
GO:0019884	antigen processing and presentation of exogenous antigen
GO:0019887	protein kinase regulator activity
GO:0019888	protein phosphatase regulator activity
GO:0019894	kinesin binding
GO:0019897	extrinsic to plasma membrane
GO:0019898	extrinsic to membrane
GO:0019900	kinase binding
GO:0019901	protein kinase binding
GO:0019902	phosphatase binding
GO:0019903	protein phosphatase binding
GO:0019905	syntaxin binding
GO:0019915	lipid storage
GO:0019932	second-messenger-mediated signaling
GO:0019933	cAMP-mediated signaling
GO:0019934	cGMP-mediated signaling
GO:0019935	cyclic-nucleotide-mediated signaling
GO:0019941	modification-dependent protein catabolic process
GO:0019953	sexual reproduction
GO:0019955	cytokine binding
GO:0020027	hemoglobin metabolic process
GO:0020037	heme binding
GO:0021510	spinal cord development
GO:0021511	spinal cord patterning
GO:0021513	spinal cord dorsal/ventral patterning
GO:0021514	ventral spinal cord interneuron differentiation
GO:0021515	cell differentiation in spinal cord
GO:0021516	dorsal spinal cord development
GO:0021517	ventral spinal cord development
GO:0021522	spinal cord motor neuron differentiation
GO:0021527	spinal cord association neuron differentiation
GO:0021532	neural tube patterning
GO:0021533	cell differentiation in hindbrain
GO:0021536	diencephalon development
GO:0021537	telencephalon development
GO:0021543	pallium development
GO:0021544	subpallium development
GO:0021545	cranial nerve development
GO:0021549	cerebellum development
GO:0021575	hindbrain morphogenesis
GO:0021587	cerebellum morphogenesis
GO:0021591	ventricular system development
GO:0021602	cranial nerve morphogenesis
GO:0021675	nerve development
GO:0021680	cerebellar Purkinje cell layer development
GO:0021695	cerebellar cortex development
GO:0021696	cerebellar cortex morphogenesis
GO:0021697	cerebellar cortex formation
GO:0021700	developmental maturation
GO:0021756	striatum development
GO:0021761	limbic system development
GO:0021766	hippocampus development
GO:0021772	olfactory bulb development
GO:0021781	glial cell fate commitment
GO:0021782	glial cell development
GO:0021794	thalamus development
GO:0021795	cerebral cortex cell migration
GO:0021799	cerebral cortex radially oriented cell migration
GO:0021846	cell proliferation in forebrain
GO:0021854	hypothalamus development
GO:0021871	forebrain regionalization
GO:0021872	forebrain generation of neurons
GO:0021879	forebrain neuron differentiation
GO:0021885	forebrain cell migration
GO:0021889	olfactory bulb interneuron differentiation
GO:0021895	cerebral cortex neuron differentiation
GO:0021903	rostrocaudal neural tube patterning
GO:0021904	dorsal/ventral neural tube patterning
GO:0021915	neural tube development
GO:0021952	central nervous system projection neuron axonogenesis
GO:0021953	central nervous system neuron differentiation
GO:0021954	central nervous system neuron development
GO:0021955	central nervous system neuron axonogenesis
GO:0021983	pituitary gland development
GO:0021984	adenohypophysis development
GO:0021987	cerebral cortex development
GO:0021988	olfactory lobe development
GO:0022010	central nervous system myelination
GO:0022011	myelination in peripheral nervous system
GO:0022029	telencephalon cell migration
GO:0022037	metencephalon development
GO:0022401	negative adaptation of signaling pathway
GO:0022404	molting cycle process
GO:0022405	hair cycle process
GO:0022406	membrane docking
GO:0022407	regulation of cell-cell adhesion
GO:0022408	negative regulation of cell-cell adhesion
GO:0022409	positive regulation of cell-cell adhesion
GO:0022410	circadian sleep/wake cycle process
GO:0022411	cellular component disassembly
GO:0022412	cellular process involved in reproduction in multicellular organism
GO:0022415	viral reproductive process
GO:0022600	digestive system process
GO:0022602	ovulation cycle process
GO:0022603	regulation of anatomical structure morphogenesis
GO:0022604	regulation of cell morphogenesis
GO:0022612	gland morphogenesis
GO:0022613	ribonucleoprotein complex biogenesis
GO:0022616	DNA strand elongation
GO:0022617	extracellular matrix disassembly
GO:0022618	ribonucleoprotein complex assembly
GO:0022624	proteasome accessory complex
GO:0022625	cytosolic large ribosomal subunit
GO:0022626	cytosolic ribosome
GO:0022627	cytosolic small ribosomal subunit
GO:0022803	passive transmembrane transporter activity
GO:0022804	active transmembrane transporter activity
GO:0022829	wide pore channel activity
GO:0022832	voltage-gated channel activity
GO:0022834	ligand-gated channel activity
GO:0022836	gated channel activity
GO:0022838	substrate-specific channel activity
GO:0022839	ion gated channel activity
GO:0022843	voltage-gated cation channel activity
GO:0022884	macromolecule transmembrane transporter activity
GO:0022890	inorganic cation transmembrane transporter activity
GO:0022898	regulation of transmembrane transporter activity
GO:0022900	electron transport chain
GO:0022904	respiratory electron transport chain
GO:0023019	signal transduction involved in regulation of gene expression
GO:0023021	termination of signal transduction
GO:0023058	adaptation of signaling pathway
GO:0023061	signal release
GO:0030002	cellular anion homeostasis
GO:0030003	cellular cation homeostasis
GO:0030004	cellular monovalent inorganic cation homeostasis
GO:0030010	establishment of cell polarity
GO:0030016	myofibril
GO:0030017	sarcomere
GO:0030018	Z disc
GO:0030027	lamellipodium
GO:0030029	actin filament-based process
GO:0030031	cell projection assembly
GO:0030032	lamellipodium assembly
GO:0030036	actin cytoskeleton organization
GO:0030041	actin filament polymerization
GO:0030042	actin filament depolymerization
GO:0030048	actin filament-based movement
GO:0030049	muscle filament sliding
GO:0030055	cell-substrate junction
GO:0030057	desmosome
GO:0030071	regulation of mitotic metaphase/anaphase transition
GO:0030072	peptide hormone secretion
GO:0030073	insulin secretion
GO:0030097	hemopoiesis
GO:0030098	lymphocyte differentiation
GO:0030099	myeloid cell differentiation
GO:0030100	regulation of endocytosis
GO:0030101	natural killer cell activation
GO:0030104	water homeostasis
GO:0030111	regulation of Wnt receptor signaling pathway
GO:0030117	membrane coat
GO:0030118	clathrin coat
GO:0030119	AP-type membrane coat adaptor complex
GO:0030120	vesicle coat
GO:0030125	clathrin vesicle coat
GO:0030126	COPI vesicle coat
GO:0030128	clathrin coat of endocytic vesicle
GO:0030130	clathrin coat of trans-Golgi network vesicle
GO:0030131	clathrin adaptor complex
GO:0030132	clathrin coat of coated pit
GO:0030133	transport vesicle
GO:0030134	ER to Golgi transport vesicle
GO:0030135	coated vesicle
GO:0030136	clathrin-coated vesicle
GO:0030137	COPI-coated vesicle
GO:0030139	endocytic vesicle
GO:0030140	trans-Golgi network transport vesicle
GO:0030141	secretory granule
GO:0030145	manganese ion binding
GO:0030148	sphingolipid biosynthetic process
GO:0030149	sphingolipid catabolic process
GO:0030155	regulation of cell adhesion
GO:0030159	receptor signaling complex scaffold activity
GO:0030162	regulation of proteolysis
GO:0030163	protein catabolic process
GO:0030165	PDZ domain binding
GO:0030166	proteoglycan biosynthetic process
GO:0030168	platelet activation
GO:0030169	low-density lipoprotein particle binding
GO:0030170	pyridoxal phosphate binding
GO:0030173	integral to Golgi membrane
GO:0030175	filopodium
GO:0030176	integral to endoplasmic reticulum membrane
GO:0030177	positive regulation of Wnt receptor signaling pathway
GO:0030178	negative regulation of Wnt receptor signaling pathway
GO:0030183	B cell differentiation
GO:0030193	regulation of blood coagulation
GO:0030194	positive regulation of blood coagulation
GO:0030195	negative regulation of blood coagulation
GO:0030198	extracellular matrix organization
GO:0030199	collagen fibril organization
GO:0030201	heparan sulfate proteoglycan metabolic process
GO:0030203	glycosaminoglycan metabolic process
GO:0030204	chondroitin sulfate metabolic process
GO:0030216	keratinocyte differentiation
GO:0030217	T cell differentiation
GO:0030218	erythrocyte differentiation
GO:0030219	megakaryocyte differentiation
GO:0030224	monocyte differentiation
GO:0030225	macrophage differentiation
GO:0030228	lipoprotein particle receptor activity
GO:0030238	male sex determination
GO:0030239	myofibril assembly
GO:0030246	carbohydrate binding
GO:0030247	polysaccharide binding
GO:0030252	growth hormone secretion
GO:0030258	lipid modification
GO:0030259	lipid glycosylation
GO:0030260	entry into host cell
GO:0030261	chromosome condensation
GO:0030262	apoptotic nuclear change
